5.1,3.15,-2.35619
5.05,3.1,-2.35619
5,3.05,3.14159
4.95,3.05,2.35619
4.9,3.1,-2.35619
4.85,3.05,3.14159
4.8,3.05,2.35619
4.75,3.1,-2.35619
4.7,3.05,-2.35619
4.65,3,2.35619
4.6,3.05,-2.35619
4.55,3,2.35619
4.5,3.05,-2.35619
4.45,3,-2.35619
4.4,2.95,3.14159
4.35,2.95,2.35619
4.3,3,2.35619
4.25,3.05,2.35619
4.2,3.1,3.14159
4.15,3.1,-2.35619
4.1,3.05,3.14159
4.05,3.05,-2.35619
4,3,3.14159
3.95,3,3.14159
3.9,3,2.35619
3.85,3.05,-2.35619
3.8,3,2.35619
3.75,3.05,-2.35619
3.7,3,-2.35619
3.65,2.95,2.35619
3.6,3,-2.35619
3.55,2.95,3.14159
3.5,2.95,2.35619
3.45,3,3.14159
3.4,3,-2.35619
3.35,2.95,3.14159
3.3,2.95,-2.35619
3.25,2.9,2.35619
3.2,2.95,2.35619
3.15,3,2.35619
3.1,3.05,3.14159
3.05,3.05,-2.35619
3,3,-2.35619
2.95,2.95,2.35619
2.9,3,-2.35619
2.85,2.95,-2.35619
2.8,2.9,3.14159
2.75,2.9,3.14159
2.7,2.9,3.14159
2.65,2.9,3.14159
2.6,2.9,2.35619
2.55,2.95,-2.35619
2.5,2.9,3.14159
2.45,2.9,3.14159
2.4,2.9,2.35619
2.35,2.95,-2.35619
2.3,2.9,3.14159
2.25,2.9,3.14159
2.2,2.9,3.14159
2.15,2.9,3.14159
2.1,2.9,2.35619
2.05,2.95,-2.35619
2,2.9,3.14159
1.95,2.9,2.35619
1.9,2.95,-2.35619
1.85,2.9,3.14159
1.8,2.9,3.14159
1.75,2.9,2.35619
1.7,2.95,-2.35619
1.65,2.9,3.14159
1.6,2.9,3.14159
1.55,2.9,3.14159
1.5,2.9,2.35619
1.45,2.95,-2.35619
1.4,2.9,3.14159
1.35,2.9,2.35619
1.3,2.95,-2.35619
1.25,2.9,3.14159
1.2,2.9,3.14159
1.15,2.9,2.35619
1.1,2.95,3.14159
1.05,2.95,2.35619
1,3,-1.89255
